reference_strain,SAMEA2247828
168_hot_R2,SAMEA2247843
150_hot_R2,SAMEA2247842
143_hot_R2,SAMEA2247841
136_hot_R1,SAMEA2247840
129_hot_R1,SAMEA2247839
117_hot_R1,SAMEA2247838
106_hot_R1,SAMEA2247837
100_cold_R1,SAMEA2247836
96_cold_R1,SAMEA2247835
91_cold_R1,SAMEA2247834
89_cold_R2,SAMEA2247833
80_cold_R2,SAMEA2247832
53_cold_R2,SAMEA2247831
52_cold_R2,SAMEA2247830
21_cold_R3,SAMEA2247829
